team,position,id,tour,prizeusd,start,end,startelo,startglicko2mu,startglicko2phi,startglicko2rating,endelo,endglicko2mu,endglicko2phi,endglicko2rating
fnatic,pos4,n0tail,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
fnatic,pos5,fly,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
wehazasian,pos1,unicornxoxo,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
wehazasian,pos2,fata,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
wehazasian,pos3,crydasia,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
wehazasian,pos4,rmc,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
wehazasian,pos5,hiphopnotpop,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
teamdignitas,pos1,aui_2000,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
teamdignitas,pos2,fogged,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
teamdignitas,pos3,sneyking,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
teamdignitas,pos4,tidesoftime,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
teamdignitas,pos5,waytosexy,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
quanticgaming,pos1,korok,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
quanticgaming,pos2,brax,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
quanticgaming,pos3,universe,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
quanticgaming,pos4,1437,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
quanticgaming,pos5,paintitgold,RaidCall Dota 2 League Season 1,10000,10/09/2012,18/11/2012,,,,,,,,
natusvincere,pos1,xboct,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,1173.297392395138,1728.3839638941547,59.512633382343864,1579.602380438295,1278.9237065384204,1767.5975603909676,51.12733029210745,1639.7792346606989
natusvincere,pos2,dendi,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,1173.297392395138,1728.3839638941547,59.512633382343864,1579.602380438295,1278.9237065384204,1767.5975603909676,51.12733029210745,1639.7792346606989
natusvincere,pos3,lightofheaven,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,1173.297392395138,1728.3839638941547,59.512633382343864,1579.602380438295,1278.9237065384204,1767.5975603909676,51.12733029210745,1639.7792346606989
natusvincere,pos4,puppey,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,1173.297392395138,1728.3839638941547,59.512633382343864,1579.602380438295,1278.9237065384204,1767.5975603909676,51.12733029210745,1639.7792346606989
natusvincere,pos5,arsart,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,1173.297392395138,1728.3839638941547,59.512633382343864,1579.602380438295,1278.9237065384204,1767.5975603909676,51.12733029210745,1639.7792346606989
thegdbteam,pos1,black,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
thegdbteam,pos2,singsing,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
thegdbteam,pos3,sexybamboe,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
thegdbteam,pos4,kuroky,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
thegdbteam,pos5,alex,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
teamempire,pos1,blowyourbrain,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
teamempire,pos2,scandal,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
teamempire,pos3,funn1k,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
teamempire,pos4,goblak,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
teamempire,pos5,silent,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
pulseesports,pos1,wagamama,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
pulseesports,pos2,pinoy,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
pulseesports,pos3,reesion,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
pulseesports,pos4,mini,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
pulseesports,pos5,fishbone,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
virtuspro,pos1,illidan,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
virtuspro,pos2,tmw,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
virtuspro,pos3,ksi,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
virtuspro,pos4,ns,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
virtuspro,pos5,santa,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
meetyourmakers,pos1,balsam,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
meetyourmakers,pos2,calculus,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
meetyourmakers,pos3,quix,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
meetyourmakers,pos4,ryze,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
meetyourmakers,pos5,atze,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
moscowfive,pos1,dread,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
moscowfive,pos2,sahan,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
moscowfive,pos3,solo,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
moscowfive,pos4,nexus,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
moscowfive,pos5,sedoy,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,,,,,,,,
absolutelegends,pos1,comewithme,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,966.9529811743436,1569.8036777464374,69.25617765491883,1396.6632336091404,1075.1734424717436,1601.045548159137,68.07744944174678,1430.85192455477
absolutelegends,pos2,god,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,966.9529811743436,1569.8036777464374,69.25617765491883,1396.6632336091404,1075.1734424717436,1601.045548159137,68.07744944174678,1430.85192455477
absolutelegends,pos3,freezer,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,966.9529811743436,1569.8036777464374,69.25617765491883,1396.6632336091404,1075.1734424717436,1601.045548159137,68.07744944174678,1430.85192455477
absolutelegends,pos4,mania,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,966.9529811743436,1569.8036777464374,69.25617765491883,1396.6632336091404,1075.1734424717436,1601.045548159137,68.07744944174678,1430.85192455477
absolutelegends,pos5,vigoss,StarLadder StarSeries Season 3,15000,17/09/2012,21/10/2012,966.9529811743436,1569.8036777464374,69.25617765491883,1396.6632336091404,1075.1734424717436,1601.045548159137,68.07744944174678,1430.85192455477
teamdk,pos1,burning,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
teamdk,pos2,super,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
teamdk,pos3,rotk,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
teamdk,pos4,qqq,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
teamdk,pos5,mmy,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
lgdgaming,pos1,sylar,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1170.7476989077907,1775.0709309312829,61.36518582027679,1621.657966380591,1184.1722884967373,1786.1985327482917,53.81309283687414,1651.6658006561063
lgdgaming,pos2,yao,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1170.7476989077907,1775.0709309312829,61.36518582027679,1621.657966380591,1184.1722884967373,1786.1985327482917,53.81309283687414,1651.6658006561063
lgdgaming,pos3,xiao8,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1170.7476989077907,1775.0709309312829,61.36518582027679,1621.657966380591,1184.1722884967373,1786.1985327482917,53.81309283687414,1651.6658006561063
lgdgaming,pos4,dd,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1170.7476989077907,1775.0709309312829,61.36518582027679,1621.657966380591,1184.1722884967373,1786.1985327482917,53.81309283687414,1651.6658006561063
lgdgaming,pos5,ddc,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1170.7476989077907,1775.0709309312829,61.36518582027679,1621.657966380591,1184.1722884967373,1786.1985327482917,53.81309283687414,1651.6658006561063
tongfu,pos1,hao,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
tongfu,pos2,mu,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
tongfu,pos3,chan,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
tongfu,pos4,longdd,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
tongfu,pos5,sansheng,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
orangeesports,pos1,yamateh,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1062.2859370794117,1641.5387256237423,67.61916396517155,1472.4908157108134,1235.3919953998716,1697.2355871023597,62.97744416424572,1539.7919766917453
orangeesports,pos2,mushi,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1062.2859370794117,1641.5387256237423,67.61916396517155,1472.4908157108134,1235.3919953998716,1697.2355871023597,62.97744416424572,1539.7919766917453
orangeesports,pos3,iceiceice,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1062.2859370794117,1641.5387256237423,67.61916396517155,1472.4908157108134,1235.3919953998716,1697.2355871023597,62.97744416424572,1539.7919766917453
orangeesports,pos4,xtinct,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1062.2859370794117,1641.5387256237423,67.61916396517155,1472.4908157108134,1235.3919953998716,1697.2355871023597,62.97744416424572,1539.7919766917453
orangeesports,pos5,ice,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1062.2859370794117,1641.5387256237423,67.61916396517155,1472.4908157108134,1235.3919953998716,1697.2355871023597,62.97744416424572,1539.7919766917453
mufc,pos1,sharky,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
mufc,pos2,ohaiyo,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
mufc,pos3,ken,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
mufc,pos4,ling,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
mufc,pos5,net,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
invictusgaming,pos1,zhou,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1275.5963128655,1769.6760767779972,56.575391201597895,1628.2375987740024,1081.8577615325055,1747.976178431428,53.79953724248788,1613.4773353252083
invictusgaming,pos2,ferrari_430,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1275.5963128655,1769.6760767779972,56.575391201597895,1628.2375987740024,1081.8577615325055,1747.976178431428,53.79953724248788,1613.4773353252083
invictusgaming,pos3,yyf,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1275.5963128655,1769.6760767779972,56.575391201597895,1628.2375987740024,1081.8577615325055,1747.976178431428,53.79953724248788,1613.4773353252083
invictusgaming,pos4,chuan,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1275.5963128655,1769.6760767779972,56.575391201597895,1628.2375987740024,1081.8577615325055,1747.976178431428,53.79953724248788,1613.4773353252083
invictusgaming,pos5,faith,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1275.5963128655,1769.6760767779972,56.575391201597895,1628.2375987740024,1081.8577615325055,1747.976178431428,53.79953724248788,1613.4773353252083
natural9,pos1,shatan,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
natural9,pos2,r1sk,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
natural9,pos3,fzfz,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
natural9,pos4,winter,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
natural9,pos5,godot,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
flashesports,pos1,lyralei,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
flashesports,pos2,sinister,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
flashesports,pos3,azionen,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
flashesports,pos4,eminence,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
flashesports,pos5,milligan,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
evilgeniuses,pos1,fear,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1235.4776070737535,1771.8048673698986,49.18772630159253,1648.8355516159172,1102.3055401588233,1757.679651022016,45.31826940607652,1644.3839775068247
evilgeniuses,pos2,jeyo,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1235.4776070737535,1771.8048673698986,49.18772630159253,1648.8355516159172,1102.3055401588233,1757.679651022016,45.31826940607652,1644.3839775068247
evilgeniuses,pos3,demon,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1235.4776070737535,1771.8048673698986,49.18772630159253,1648.8355516159172,1102.3055401588233,1757.679651022016,45.31826940607652,1644.3839775068247
evilgeniuses,pos4,maelk,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1235.4776070737535,1771.8048673698986,49.18772630159253,1648.8355516159172,1102.3055401588233,1757.679651022016,45.31826940607652,1644.3839775068247
evilgeniuses,pos5,bdiz,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,1235.4776070737535,1771.8048673698986,49.18772630159253,1648.8355516159172,1102.3055401588233,1757.679651022016,45.31826940607652,1644.3839775068247
ftfc,pos1,kphoeni,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
ftfc,pos2,fumoffu,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
ftfc,pos3,vdk,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
ftfc,pos4,cux,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
ftfc,pos5,tduck,G-1 Champions League Season 4,52879.2,22/10/2012,18/11/2012,,,,,,,,
pulseesports,pos1,wagamama,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
pulseesports,pos2,mini,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
pulseesports,pos3,reesion,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
pulseesports,pos4,pinoy,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
pulseesports,pos5,fishbone,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
dd,pos1,link,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
dd,pos2,calculus,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
dd,pos3,paris,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
dd,pos4,neno,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
dd,pos5,ryze,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
absolutelegends,pos1,s0ny,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
absolutelegends,pos2,comewithme,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
absolutelegends,pos3,freezer,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
absolutelegends,pos4,mania,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
absolutelegends,pos5,sexybamboe,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
fnatic,pos1,era,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
fnatic,pos2,h4nn1,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
fnatic,pos3,trixi,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
fnatic,pos4,n0tail,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
fnatic,pos5,fly,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
iluminate,pos1,dubas,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
iluminate,pos2,bloodangel,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
iluminate,pos3,mag,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
iluminate,pos4,alwayswannafly,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
iluminate,pos5,nexius,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
xx5gaming,pos1,alba,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
xx5gaming,pos2,nexus,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
xx5gaming,pos3,sedoy,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
xx5gaming,pos4,stalianer,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
xx5gaming,pos5,zxc,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,,,,,,,,
natusvincere,pos1,xboct,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,1145.4150283461215,1778.8873189550225,49.42581503253296,1655.32278137369,1252.8848712849156,1759.2701263308013,42.965622139817256,1651.8560709812582
natusvincere,pos2,dendi,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,1145.4150283461215,1778.8873189550225,49.42581503253296,1655.32278137369,1252.8848712849156,1759.2701263308013,42.965622139817256,1651.8560709812582
natusvincere,pos3,lightofheaven,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,1145.4150283461215,1778.8873189550225,49.42581503253296,1655.32278137369,1252.8848712849156,1759.2701263308013,42.965622139817256,1651.8560709812582
natusvincere,pos4,arsart,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,1145.4150283461215,1778.8873189550225,49.42581503253296,1655.32278137369,1252.8848712849156,1759.2701263308013,42.965622139817256,1651.8560709812582
natusvincere,pos5,puppey,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,1145.4150283461215,1778.8873189550225,49.42581503253296,1655.32278137369,1252.8848712849156,1759.2701263308013,42.965622139817256,1651.8560709812582
teamempire,pos1,blowyourbrain,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,1091.09469564541,1724.9656922340841,48.66354499915972,1603.306829736185,1149.68625791475,1729.9929483597634,39.99132070690674,1630.0146465924965
teamempire,pos2,scandal,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,1091.09469564541,1724.9656922340841,48.66354499915972,1603.306829736185,1149.68625791475,1729.9929483597634,39.99132070690674,1630.0146465924965
teamempire,pos3,funn1k,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,1091.09469564541,1724.9656922340841,48.66354499915972,1603.306829736185,1149.68625791475,1729.9929483597634,39.99132070690674,1630.0146465924965
teamempire,pos4,goblak,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,1091.09469564541,1724.9656922340841,48.66354499915972,1603.306829736185,1149.68625791475,1729.9929483597634,39.99132070690674,1630.0146465924965
teamempire,pos5,silent,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,1091.09469564541,1724.9656922340841,48.66354499915972,1603.306829736185,1149.68625791475,1729.9929483597634,39.99132070690674,1630.0146465924965
virtuspro,pos1,illidan,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,991.5931933359298,1558.3045150255327,66.86046002716267,1391.153364957626,1176.6932104031778,1658.6750713138576,51.110687832680526,1530.8983517321562
virtuspro,pos2,crazy,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,991.5931933359298,1558.3045150255327,66.86046002716267,1391.153364957626,1176.6932104031778,1658.6750713138576,51.110687832680526,1530.8983517321562
virtuspro,pos3,ksi,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,991.5931933359298,1558.3045150255327,66.86046002716267,1391.153364957626,1176.6932104031778,1658.6750713138576,51.110687832680526,1530.8983517321562
virtuspro,pos4,ns,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,991.5931933359298,1558.3045150255327,66.86046002716267,1391.153364957626,1176.6932104031778,1658.6750713138576,51.110687832680526,1530.8983517321562
virtuspro,pos5,santa,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,991.5931933359298,1558.3045150255327,66.86046002716267,1391.153364957626,1176.6932104031778,1658.6750713138576,51.110687832680526,1530.8983517321562
mousesports,pos1,black,StarLadder StarSeries Season 4,15000,13/11/2012,23/12/2012,1009.697100828375,1642.9201499845442,52.52392039699289,1511.610348992062,1007.3639502939212,1642.9201499845442,57.48957441109069,1499.1962139568175
