team,pos,id,tour,prizepool,place,prizeusd,start,startglicko2mu,startglicko2phi,startglicko2rating,end,endglicko2mu,endglicko2phi,endglicko2rating
mineskisports5,5,ninjaboogie,Pro Gamer League 2016 (PGL 2016) - Summer,100000,5-8 ,0,23/07/2016,,,,24/07/2016,,,
tongfu,1,moogy,Pro Gamer League 2016 (PGL 2016) - Summer,100000,5-8 ,0,23/07/2016,1741.5839677821982,40.0658968198206,1641.4192257326467,24/07/2016,1741.5839677821982,41.406419252057816,1638.0679196520537
tongfu,2,lin,Pro Gamer League 2016 (PGL 2016) - Summer,100000,5-8 ,0,23/07/2016,1741.5839677821982,40.0658968198206,1641.4192257326467,24/07/2016,1741.5839677821982,41.406419252057816,1638.0679196520537
tongfu,3,faith,Pro Gamer League 2016 (PGL 2016) - Summer,100000,5-8 ,0,23/07/2016,1741.5839677821982,40.0658968198206,1641.4192257326467,24/07/2016,1741.5839677821982,41.406419252057816,1638.0679196520537
tongfu,4,lpc,Pro Gamer League 2016 (PGL 2016) - Summer,100000,5-8 ,0,23/07/2016,1741.5839677821982,40.0658968198206,1641.4192257326467,24/07/2016,1741.5839677821982,41.406419252057816,1638.0679196520537
tongfu,5,kabu,Pro Gamer League 2016 (PGL 2016) - Summer,100000,5-8 ,0,23/07/2016,1741.5839677821982,40.0658968198206,1641.4192257326467,24/07/2016,1741.5839677821982,41.406419252057816,1638.0679196520537
cdecgaming,1,rabbit,Pro Gamer League 2016 (PGL 2016) - Summer,100000,2,"30,000 ",23/07/2016,1790.824919591737,39.138321744713906,1692.9791152299522,24/07/2016,1790.824919591737,40.50184917618953,1689.570296651263
cdecgaming,2,super,Pro Gamer League 2016 (PGL 2016) - Summer,100000,2,"30,000 ",23/07/2016,1790.824919591737,39.138321744713906,1692.9791152299522,24/07/2016,1790.824919591737,40.50184917618953,1689.570296651263
cdecgaming,3,yao,Pro Gamer League 2016 (PGL 2016) - Summer,100000,2,"30,000 ",23/07/2016,1790.824919591737,39.138321744713906,1692.9791152299522,24/07/2016,1790.824919591737,40.50184917618953,1689.570296651263
cdecgaming,4,garder,Pro Gamer League 2016 (PGL 2016) - Summer,100000,2,"30,000 ",23/07/2016,1790.824919591737,39.138321744713906,1692.9791152299522,24/07/2016,1790.824919591737,40.50184917618953,1689.570296651263
