team,pos,id,tour,prizeusd,start,startelo,end,endelo
qpadredpandas,1,wagamama,DreamHack Dota 2 Invitational,6000,14/03/2013,,18/04/2013,
qpadredpandas,2,singsing,DreamHack Dota 2 Invitational,6000,14/03/2013,,18/04/2013,
qpadredpandas,3,select,DreamHack Dota 2 Invitational,6000,14/03/2013,,18/04/2013,
qpadredpandas,4,jerax,DreamHack Dota 2 Invitational,6000,14/03/2013,,18/04/2013,
qpadredpandas,5,mini,DreamHack Dota 2 Invitational,6000,14/03/2013,,18/04/2013,
teamliquid,1,tc,DreamHack Dota 2 Invitational,6000,14/03/2013,1258.3167007350285,18/04/2013,1272.2279846808547
teamliquid,2,korok,DreamHack Dota 2 Invitational,6000,14/03/2013,1258.3167007350285,18/04/2013,1272.2279846808547
teamliquid,3,bulba,DreamHack Dota 2 Invitational,6000,14/03/2013,1258.3167007350285,18/04/2013,1272.2279846808547
teamliquid,4,fluffnstuff,DreamHack Dota 2 Invitational,6000,14/03/2013,1258.3167007350285,18/04/2013,1272.2279846808547
teamliquid,5,ixmike88,DreamHack Dota 2 Invitational,6000,14/03/2013,1258.3167007350285,18/04/2013,1272.2279846808547
teamdignitas,1,aui_2000,DreamHack Dota 2 Invitational,6000,14/03/2013,1131.3048062206262,18/04/2013,1262.1434585376783
teamdignitas,2,sneyking,DreamHack Dota 2 Invitational,6000,14/03/2013,1131.3048062206262,18/04/2013,1262.1434585376783
teamdignitas,3,universe,DreamHack Dota 2 Invitational,6000,14/03/2013,1131.3048062206262,18/04/2013,1262.1434585376783
teamdignitas,4,fogged,DreamHack Dota 2 Invitational,6000,14/03/2013,1131.3048062206262,18/04/2013,1262.1434585376783
teamdignitas,5,waytosexy,DreamHack Dota 2 Invitational,6000,14/03/2013,1131.3048062206262,18/04/2013,1262.1434585376783
fnaticeu,1,era,DreamHack Dota 2 Invitational,6000,14/03/2013,,18/04/2013,
fnaticeu,2,h4nn1,DreamHack Dota 2 Invitational,6000,14/03/2013,,18/04/2013,
fnaticeu,3,trixi,DreamHack Dota 2 Invitational,6000,14/03/2013,,18/04/2013,
fnaticeu,4,n0tail,DreamHack Dota 2 Invitational,6000,14/03/2013,,18/04/2013,
fnaticeu,5,fly,DreamHack Dota 2 Invitational,6000,14/03/2013,,18/04/2013,
mousesports,1,black,DreamHack Dota 2 Invitational,6000,14/03/2013,1149.533317753183,18/04/2013,1196.6934848525364
mousesports,2,fata,DreamHack Dota 2 Invitational,6000,14/03/2013,1149.533317753183,18/04/2013,1196.6934848525364
mousesports,3,qojqva,DreamHack Dota 2 Invitational,6000,14/03/2013,1149.533317753183,18/04/2013,1196.6934848525364
mousesports,4,pas,DreamHack Dota 2 Invitational,6000,14/03/2013,1149.533317753183,18/04/2013,1196.6934848525364
mousesports,5,alex,DreamHack Dota 2 Invitational,6000,14/03/2013,1149.533317753183,18/04/2013,1196.6934848525364
alliance,1,loda,DreamHack Dota 2 Invitational,6000,14/03/2013,1386.123793701943,18/04/2013,1217.146972674699
alliance,2,s4,DreamHack Dota 2 Invitational,6000,14/03/2013,1386.123793701943,18/04/2013,1217.146972674699
alliance,3,admiralbulldog,DreamHack Dota 2 Invitational,6000,14/03/2013,1386.123793701943,18/04/2013,1217.146972674699
alliance,4,akke,DreamHack Dota 2 Invitational,6000,14/03/2013,1386.123793701943,18/04/2013,1217.146972674699
alliance,5,egm,DreamHack Dota 2 Invitational,6000,14/03/2013,1386.123793701943,18/04/2013,1217.146972674699
orangeesports,1,kyxy,G-1 Champions League Season 5,65156,16/03/2013,,26/05/2013,
orangeesports,2,mushi,G-1 Champions League Season 5,65156,16/03/2013,,26/05/2013,
orangeesports,3,ohaiyo,G-1 Champions League Season 5,65156,16/03/2013,,26/05/2013,
orangeesports,4,xtinct,G-1 Champions League Season 5,65156,16/03/2013,,26/05/2013,
orangeesports,5,net haslink,G-1 Champions League Season 5,65156,16/03/2013,,26/05/2013,
invictusgaming,1,zhou,G-1 Champions League Season 5,65156,16/03/2013,1129.1537443345396,26/05/2013,1106.6889713324647
invictusgaming,2,ferrari_430,G-1 Champions League Season 5,65156,16/03/2013,1129.1537443345396,26/05/2013,1106.6889713324647
invictusgaming,3,yyf,G-1 Champions League Season 5,65156,16/03/2013,1129.1537443345396,26/05/2013,1106.6889713324647
invictusgaming,4,chuan,G-1 Champions League Season 5,65156,16/03/2013,1129.1537443345396,26/05/2013,1106.6889713324647
invictusgaming,5,faith,G-1 Champions League Season 5,65156,16/03/2013,1129.1537443345396,26/05/2013,1106.6889713324647
lgdgaming,1,sylar,G-1 Champions League Season 5,65156,16/03/2013,1002.8472887721032,26/05/2013,1268.9903647277242
lgdgaming,2,xiao8,G-1 Champions League Season 5,65156,16/03/2013,1002.8472887721032,26/05/2013,1268.9903647277242
lgdgaming,3,yao,G-1 Champions League Season 5,65156,16/03/2013,1002.8472887721032,26/05/2013,1268.9903647277242
